Retailer,Brand,Retailer ID,Invoice Date,Region,State,City,Product,Price per Unit,Units Sold,Total Sales,Operating Profit,Operating Margin,Sales Method,
Kohl's,ADIDAS,1185732,1/10/2021,West,Wyoming,Cheyenne,Classic Next Generation Athlete Backpack,44,174,7656,3062,40%,Online,
Foot Locker,ADIDAS,1185732,1/10/2021,West,Wyoming,Cheyenne,OZWEEGO Shoes,56,174,9744,4385,45%,Online,
Sports Direct,ADIDAS,1185732,1/10/2021,Midwest,Michigan,Detroit,Court Rallye Slip Shoes,37,174,6438,2253,35%,Online,
Foot Locker,ADIDAS,1185732,1/10/2021,Midwest,Missouri,St. Louis,Nizza Shoes,32,174,5568,2227,40%,Online,
West Gear,ADIDAS,1185732,2/8/2021,West,Utah,Salt Lake City,OZWEEGO Shoes,32,174,5568,2227,40%,Online,
West Gear,ADIDAS,1128299,2/8/2021,South,Louisiana,New Orleans,Adilette Aqua Slides,81,174,14094,5638,40%,Online,
Foot Locker,ADIDAS,1197831,2/8/2021,South,Louisiana,New Orleans,Grand Court Shoes,32,174,5568,2227,40%,Online,
West Gear,ADIDAS,1197831,10/12/2021,West,Idaho,Boise,Adilette Aqua Slides,47,174,8178,3680,45%,Online,
Walmart,ADIDAS,1197831,11/11/2021,South,Arkansas,Little Rock,Advantage Shoes,23,174,4002,1401,35%,Online,
Sports Direct,ADIDAS,1197831,11/11/2021,South,Texas,Dallas,Hoops 2.0 Mid Shoes,59,173,10207,4083,40%,Online,
Kohl's,ADIDAS,1189833,11/11/2021,Midwest,Montana,Billings,Climacool Vento Shoes,32,173,5536,2214,40%,Online,
Kohl's,ADIDAS,1189833,10/12/2021,Midwest,Montana,Billings,Adilette Aqua Slides,42,173,7266,2906,40%,Online,
Sports Direct,ADIDAS,1197831,11/11/2021,South,Tennessee,Knoxville,Adilette Aqua Slides,33,173,5709,2284,40%,Online,
Sports Direct,ADIDAS,1197831,11/11/2021,South,Alabama,Birmingham,Court Rallye Slip Shoes,15,173,2595,1168,45%,Online,
Sports Direct,ADIDAS,1197831,11/11/2021,South,Alabama,Birmingham,Court Rallye Slip Shoes,44,173,7612,2664,35%,Online,
Amazon,ADIDAS,1185732,2/8/2021,West,Alaska,Anchorage,Climacool Vento Shoes,51,173,8823,3529,40%,Online,
Walmart,ADIDAS,1128299,3/6/2021,Southeast,Florida,Orlando,Climacool Vento Shoes,67,173,11591,4636,40%,Online,
Sports Direct,ADIDAS,1185732,3/6/2021,Midwest,Michigan,Detroit,How We Do Long Tights,46,173,7958,3183,40%,Online,
Sports Direct,ADIDAS,1185732,3/6/2021,Midwest,Michigan,Detroit,Comfort Flip-Flops,48,173,8304,3322,40%,Online,
West Gear,ADIDAS,1185732,4/7/2021,West,Utah,Salt Lake City,Classic Superlite Super-No-Show Socks 6 Pairs,28,173,4844,2180,45%,Online,
West Gear,ADIDAS,1128299,4/7/2021,West,Oregon,Portland,Trefoil Superlite Super-No-Show Socks 6 Pairs,44,173,7612,2664,35%,Online,
West Gear,ADIDAS,1128299,4/7/2021,West,Oregon,Portland,Supernova Shoes,77,173,13321,5328,40%,Online,
Sports Direct,ADIDAS,1197831,5/6/2021,West,Idaho,Boise,adidas Adicolor Trefoil Hoodie,37,173,6401,2560,40%,Online,
Sports Direct,ADIDAS,1128299,5/6/2021,Southeast,Georgia,Atlanta,Superlite Super-No-Show Socks 6 Pairs,51,173,8823,3529,40%,Online,
Sports Direct,ADIDAS,1128299,5/6/2021,Southeast,Georgia,Atlanta,Superlite Super-No-Show Socks 6 Pairs,58,173,10034,4014,40%,Online,
Sports Direct,ADIDAS,1185732,6/8/2021,Southeast,South Carolina,Charleston,Adilette Boost Slides,29,173,5017,2258,45%,Online,
Amazon,ADIDAS,1185732,6/8/2021,Southeast,North Carolina,Charlotte,adidas Adicolor Trefoil Hoodie,32,173,5536,1938,35%,Online,
Amazon,ADIDAS,1185732,6/8/2021,Midwest,Ohio,Columbus,Supernova Tokyo Shoes,51,173,8823,3529,40%,Online,
Amazon,ADIDAS,1185732,7/6/2021,Midwest,Ohio,Columbus,Supernova Shoes,47,173,8131,3252,40%,Online,
Amazon,ADIDAS,1185732,7/6/2021,Northeast,New Hampshire,Manchester,Stretch Cotton Boxer Briefs 3 Pairs,64,173,11072,4429,40%,Online,
Foot Locker,ADIDAS,1185732,7/6/2021,Northeast,New Hampshire,Manchester,Trefoil Backpack,52,173,8996,3598,40%,Online,
West Gear,ADIDAS,1128299,8/7/2021,West,California,San Francisco,Supernova Shoes,38,173,6574,2958,45%,Outlet,
Kohl's,ADIDAS,1189833,8/7/2021,West,California,Los Angeles,Supernova Shoes,31,173,5363,1877,35%,Outlet,
West Gear,ADIDAS,1128299,8/7/2021,West,Nevada,Las Vegas,Sport Waist Pack,27,173,4671,1868,40%,Outlet,
Sports Direct,ADIDAS,1197831,9/6/2021,South,Alabama,Birmingham,Superstar Shoes,36,173,6228,2491,40%,Outlet,
Sports Direct,ADIDAS,1197831,9/6/2021,South,Alabama,Birmingham,Stretch Cotton Boxer Briefs 3 Pairs,23,173,3979,1592,40%,Outlet,
Walmart,ADIDAS,1128299,9/6/2021,Southeast,Florida,Orlando,Believe This Solid 7/8 Tightsâ€‹ (Plus Size),48,173,8304,3322,40%,Outlet,
Walmart,ADIDAS,1128299,10/8/2021,Southeast,Florida,Orlando,Hoodie,44,173,7612,3425,45%,Outlet,
Foot Locker,ADIDAS,1128299,10/8/2021,Southeast,Virginia,Richmond,Trefoil Backpack,39,173,6747,2361,35%,Outlet,
Foot Locker,ADIDAS,1128299,10/8/2021,Southeast,Virginia,Richmond,Techfit Tights,34,173,5882,2353,40%,Outlet,
West Gear,ADIDAS,1128299,2/8/2021,West,Oregon,Portland,Supernova Shoes,46,173,7958,3183,40%,Outlet,
West Gear,ADIDAS,1197831,2/8/2021,West,Idaho,Boise,Supernova Tokyo Shoes,43,173,7439,2976,40%,Outlet,
Kohl's,ADIDAS,1128299,3/6/2021,West,Arizona,Phoenix,Techfit Tights,27,173,4671,1868,40%,Outlet,
Sports Direct,ADIDAS,1128299,3/6/2021,West,New Mexico,Albuquerque,Superstar Shoes,56,173,9688,4360,45%,Outlet,
Sports Direct,ADIDAS,1128299,3/6/2021,Southeast,Georgia,Atlanta,Superlite Low-Cut Socks 6 Pairs,37,173,6401,2240,35%,Outlet,
Sports Direct,ADIDAS,1128299,3/6/2021,Southeast,Georgia,Atlanta,Supernova Shoes,34,173,5882,2353,40%,Outlet,
Sports Direct,ADIDAS,1128299,3/6/2021,Southeast,Georgia,Atlanta,Supernova Shoes,34,173,5882,2353,40%,Outlet,
Sports Direct,ADIDAS,1128299,3/6/2021,Southeast,Georgia,Atlanta,Comfort Flip-Flops,36,173,6228,2491,40%,Outlet,
West Gear,ADIDAS,1197831,4/7/2021,South,Oklahoma,Oklahoma City,Superlite Super-No-Show Socks 6 Pairs,20,173,3460,1384,40%,Outlet,
Foot Locker,ADIDAS,1185732,4/7/2021,Northeast,Connecticut,Hartford,Colorwash No-Show Socks 3 Pairs,45,173,7785,3503,45%,Outlet,
Foot Locker,ADIDAS,1185732,4/7/2021,Northeast,Rhode Island,Providence,Sport Stripe High Quarter Socks 3 Pairs,38,173,6574,2301,35%,Outlet,
Sports Direct,ADIDAS,1185732,4/7/2021,Northeast,Massachusetts,Boston,3-Stripes Crew Socks 3 Pairs,41,173,7093,2837,40%,Outlet,
Amazon,ADIDAS,1185732,4/7/2021,Northeast,Vermont,Burlington,Essentials Backpack,34,173,5882,2353,40%,Outlet,
West Gear,ADIDAS,1128299,4/7/2021,West,Nevada,Las Vegas,Trefoil Backpack,41,171,7011,2804,40%,Outlet,
West Gear,ADIDAS,1128299,5/6/2021,West,Nevada,Las Vegas,Stan Smith Shoes,43,171,7353,2941,40%,Outlet,
West Gear,ADIDAS,1128299,5/6/2021,West,Nevada,Las Vegas,College Tee,47,171,8037,3617,45%,Outlet,
West Gear,ADIDAS,1128299,5/6/2021,West,Nevada,Las Vegas,Essentials Backpack,47,171,8037,2813,35%,Outlet,
Sports Direct,ADIDAS,1128299,5/6/2021,Southeast,Florida,Orlando,Stan Smith Shoes,35,171,5985,1796,30%,Outlet,
Walmart,ADIDAS,1128299,5/6/2021,Southeast,Florida,Orlando,Essentials Backpack,47,171,8037,2411,30%,Outlet,
West Gear,ADIDAS,1128299,5/6/2021,West,Oregon,Portland,Stan Smith Shoes,61,171,10431,3129,30%,Outlet,
Kohl's,ADIDAS,1128299,6/8/2021,West,New Mexico,Albuquerque,Cargo Pants,39,171,6669,2668,40%,Outlet,
Kohl's,ADIDAS,1128299,6/8/2021,West,New Mexico,Albuquerque,Own the Run Tee,35,171,5985,1496,25%,Outlet,
Foot Locker,ADIDAS,1185732,6/8/2021,Northeast,Maryland,Baltimore,Own the Run Tee,50,170,8500,3825,45%,In-store,
West Gear,ADIDAS,1128299,6/8/2021,West,California,San Francisco,Techfit Tights,51,170,8670,2601,30%,Outlet,
Foot Locker,ADIDAS,1185732,6/8/2021,Northeast,Pennsylvania,Philadelphia,Ultimate365 3-Stripes Polo Shirt,49,170,8330,2499,30%,Outlet,
West Gear,ADIDAS,1128299,6/8/2021,West,Nevada,Las Vegas,Primeblue SST Track Pants (Plus Size),61,170,10370,3111,30%,Outlet,
West Gear,ADIDAS,1128299,7/6/2021,West,Nevada,Las Vegas,AEROREADY Designed to Move Sport Motion Logo Tee,56,170,9520,3808,40%,Outlet,
Sports Direct,ADIDAS,1197831,7/6/2021,South,Tennessee,Knoxville,Own the Run Long Sleeve Tee,24,170,4080,1020,25%,Outlet,
Sports Direct,ADIDAS,1197831,7/6/2021,South,Tennessee,Knoxville,Techfit Tights,15,170,2550,1148,45%,Outlet,
Walmart,ADIDAS,1128299,7/6/2021,Southeast,Florida,Orlando,AEROREADY Designed 2 Move Feelready Sport Tee,47,170,7990,2797,35%,Outlet,
West Gear,ADIDAS,1185732,7/6/2021,Southeast,Florida,Orlando,Ultimate365 3-Stripes Polo Shirt,30,170,5100,1785,35%,Outlet,
Sports Direct,ADIDAS,1185732,7/6/2021,Southeast,Virginia,Richmond,AEROREADY Designed 2 Move Feelready Sport Tee,17,170,2890,1012,35%,Outlet,
West Gear,ADIDAS,1185732,8/7/2021,West,Utah,Salt Lake City,AEROREADY Designed 2 Move Feelready Sport Tee,22,170,3740,1683,45%,Outlet,
West Gear,ADIDAS,1185732,8/7/2021,West,Utah,Salt Lake City,Saturday Shorts,29,170,4930,1479,30%,Outlet,
Foot Locker,ADIDAS,1128299,8/7/2021,West,Arizona,Phoenix,adidas x Zoe Saldana Feelbrilliant AEROREADY 3/4 Printed Sport Tights,36,170,6120,3060,50%,Outlet,
Kohl's,ADIDAS,1128299,8/7/2021,West,New Mexico,Albuquerque,Brand Love Repeat Logo Half-Zip Windbreaker,56,170,9520,3332,35%,Outlet,
West Gear,ADIDAS,1197831,8/7/2021,South,Arkansas,Little Rock,adidas x Zoe Saldana Crop Logo Tee (Plus Size),55,170,9350,3273,35%,Outlet,
Sports Direct,ADIDAS,1185732,8/7/2021,Northeast,Connecticut,Hartford,adidas x Zoe Saldana Crop Logo Tee (Plus Size),43,170,7310,2559,35%,Outlet,
Walmart,ADIDAS,1197831,9/6/2021,South,Texas,Houston,adidas x Zoe Saldana Crop Logo Tee (Plus Size),41,169,6929,3118,45%,Online,
Walmart,ADIDAS,1197831,9/6/2021,South,Texas,Houston,Brand Love Repeat Logo Half-Zip Windbreaker,41,169,6929,2079,30%,Online,
Walmart,ADIDAS,1197831,9/6/2021,South,Texas,Houston,Essentials 3-Stripes Track Jacket,42,169,7098,3549,50%,Online,
Kohl's,ADIDAS,1189833,9/6/2021,West,California,Los Angeles,adidas x Zoe Saldana AEROREADY Bra Top,44,169,7436,2603,35%,Online,
Kohl's,ADIDAS,1189833,9/6/2021,West,California,Los Angeles,AEROREADY Designed to Move Sport Motion Logo Tee,42,169,7098,2484,35%,Online,
Kohl's,ADIDAS,1189833,9/6/2021,West,California,Los Angeles,Essentials 3-Stripes Track Jacket,47,169,7943,2780,35%,Online,
Kohl's,ADIDAS,1189833,10/8/2021,West,California,Los Angeles,HULK STAN SMITH SHOES,47,169,7943,3574,45%,Online,
Kohl's,ADIDAS,1189833,10/8/2021,West,California,Los Angeles,adidas x Zoe Saldana AEROREADY Sport Tee,47,169,7943,2383,30%,Online,
Sports Direct,ADIDAS,1197831,10/8/2021,South,Texas,Dallas,adidas SPRT Logo Tee,39,169,6591,3296,50%,Online,
Sports Direct,ADIDAS,1197831,10/8/2021,South,Texas,Dallas,adidas x Zoe Saldana AEROREADY Sport Tee,38,169,6422,2248,35%,Online,
West Gear,ADIDAS,1185732,10/8/2021,Southeast,Florida,Miami,Adicolor Classics 3-Stripes Tights,38,169,6422,2248,35%,Online,
Kohl's,ADIDAS,1189833,2/17/2021,Midwest,Montana,Billings,Adicolor Classics Bra Top,36,169,6084,2129,35%,Online,
Sports Direct,ADIDAS,1197831,2/17/2021,South,Tennessee,Knoxville,Adicolor Track Pants,24,169,4056,1825,45%,Online,
Sports Direct,ADIDAS,1197831,2/17/2021,South,Tennessee,Knoxville,FARM Rio Print Relaxed Lightweight Windbreaker,19,169,3211,963,30%,Online,
Sports Direct,ADIDAS,1197831,3/16/2021,South,Tennessee,Knoxville,AEROREADY Designed to Move Sport Motion Logo Tee,36,169,6084,3042,50%,Online,
Sports Direct,ADIDAS,1197831,3/16/2021,South,Tennessee,Knoxville,Essentials Light Down Vest,47,169,7943,3177,40%,Online,
Sports Direct,ADIDAS,1197831,3/16/2021,South,Tennessee,Knoxville,Adicolor Backpack,59,169,9971,3988,40%,Online,
Sports Direct,ADIDAS,1197831,3/16/2021,South,Alabama,Birmingham,Logo Play Cropped Hoodie,18,169,3042,1217,40%,Online,
Sports Direct,ADIDAS,1197831,3/16/2021,South,Alabama,Birmingham,Adicolor Classics MM Trefoil Shorts,19,169,3211,1606,50%,Online,
Foot Locker,ADIDAS,1128299,3/16/2021,West,Hawaii,Honolulu,Adicolor Essentials Fleece Sweatshirt,97,169,16393,5738,35%,Online,
Walmart,ADIDAS,1128299,4/17/2021,Southeast,Florida,Orlando,Marimekko Shorts,52,169,8788,4833,55%,Online,
West Gear,ADIDAS,1185732,4/17/2021,Southeast,Florida,Orlando,Adicolor Classics 3-Stripes Tights,32,169,5408,2163,40%,Online,
West Gear,ADIDAS,1185732,4/17/2021,Northeast,New York,Albany,Adicolor Classics Bra Top,59,169,9971,3988,40%,Online,
West Gear,ADIDAS,1185732,4/17/2021,Northeast,New York,Albany,Adicolor Essentials Cropped Tee,51,169,8619,3448,40%,Online,
West Gear,ADIDAS,1185732,4/17/2021,Northeast,New York,Albany,Adicolor Classics Satin Tape Cropped Hoodie,51,169,8619,4310,50%,Online,
Foot Locker,ADIDAS,1128299,4/17/2021,Southeast,Virginia,Richmond,Adicolor Classics Satin Tape Cropped Hoodie,47,169,7943,2780,35%,Online,
Sports Direct,ADIDAS,1185732,5/18/2021,Midwest,Michigan,Detroit,Terrex Trailmaker Hiking Shoes,60,169,10140,5577,55%,Online,
Sports Direct,ADIDAS,1185732,5/18/2021,Midwest,Michigan,Detroit,FARM Rio Print Relaxed Lightweight Windbreaker,59,169,9971,3988,40%,Online,
West Gear,ADIDAS,1185732,5/18/2021,West,Utah,Salt Lake City,adidas SPRT Colorblock Track Pants,29,169,4901,1960,40%,Online,
West Gear,ADIDAS,1128299,5/18/2021,West,Oregon,Portland,Graphics Camo Allover Print Tee,62,169,10478,4191,40%,Online,
Foot Locker,ADIDAS,1197831,5/18/2021,West,Idaho,Boise,Adicolor Cropped Hoodie,36,169,6084,3042,50%,Online,
Foot Locker,ADIDAS,1185732,5/18/2021,Southeast,South Carolina,Charleston,Track Pants,33,169,5577,1952,35%,Online,
Sports Direct,ADIDAS,1185732,6/17/2021,Southeast,South Carolina,Charleston,Graphics Monogram Track Jacket,23,169,3887,2138,55%,Online,
Sports Direct,ADIDAS,1185732,6/17/2021,Southeast,North Carolina,Charlotte,adidas Connected Through Sport Long Sleeve Graphic Tee,27,169,4563,1825,40%,Online,
Sports Direct,ADIDAS,1185732,6/17/2021,Southeast,North Carolina,Charlotte,R.Y.V. Baseball Cap,37,169,6253,2501,40%,Online,
Sports Direct,ADIDAS,1185732,6/17/2021,Southeast,North Carolina,Charlotte,Essentials Logo Hoodie (Gender Neutral),47,169,7943,3177,40%,Online,
Sports Direct,ADIDAS,1185732,6/17/2021,Southeast,North Carolina,Charlotte,Karlie Kloss Bikini Top,49,169,8281,4141,50%,Online,
Amazon,ADIDAS,1185732,6/17/2021,Southeast,North Carolina,Charlotte,Tights,65,169,10985,3845,35%,Online,
Amazon,ADIDAS,1185732,7/16/2021,Midwest,Ohio,Columbus,Graphics Camo Shorts,54,169,9126,5019,55%,Online,
Amazon,ADIDAS,1185732,7/16/2021,Midwest,Ohio,Columbus,Track Pants,34,169,5746,2298,40%,Online,
Foot Locker,ADIDAS,1185732,7/16/2021,South,Mississippi,Jackson,Karlie Kloss Bikini Top,23,169,3887,1555,40%,Online,
Walmart,ADIDAS,1185732,7/16/2021,South,Mississippi,Jackson,Allover Print SST Pants,53,169,8957,3583,40%,Online,
West Gear,ADIDAS,1197831,7/16/2021,South,Arkansas,Little Rock,Adicolor Collegiate Baseball Cap,24,169,4056,2028,50%,Online,
Kohl's,ADIDAS,1197831,7/16/2021,South,Oklahoma,Oklahoma City,Split Hoodie,64,169,10816,3786,35%,Online,
Amazon,ADIDAS,1185732,8/17/2021,Northeast,New Hampshire,Manchester,Adicolor Collegiate Baseball Cap,59,169,9971,5484,55%,Online,
Foot Locker,ADIDAS,1185732,8/17/2021,Northeast,New Hampshire,Manchester,Graphic Tee,71,169,11999,4800,40%,Online,
Walmart,ADIDAS,1197831,8/17/2021,South,Texas,Houston,Lil Stripe Ignite SZN Hoodie,42,168,7056,2822,40%,Online,
Walmart,ADIDAS,1197831,8/17/2021,South,Texas,Houston,Lil Stripe Ignite SZN Hoodie,45,168,7560,3024,40%,Online,
West Gear,ADIDAS,1128299,8/17/2021,West,Colorado,Denver,Long Sleeve Graphic Tee,69,168,11592,5796,50%,Online,
Walmart,ADIDAS,1128299,8/17/2021,West,Hawaii,Honolulu,Lil Stripe Ignite SZN Hoodie,56,168,9408,3293,35%,Online,
West Gear,ADIDAS,1185732,9/18/2021,Northeast,New York,Albany,Split Hoodie,62,168,10416,5729,55%,Online,
Kohl's,ADIDAS,1185732,9/18/2021,Northeast,New York,Albany,Team Speed Soccer OTC Socks,29,168,4872,1705,35%,Online,
Kohl's,ADIDAS,1185732,9/18/2021,West,Wyoming,Cheyenne,Team Speed Soccer OTC Socks,42,168,7056,2822,40%,Online,
Kohl's,ADIDAS,1185732,9/18/2021,West,Wyoming,Cheyenne,Adicolor Classics Oversized Sweatshirtâ€‹,44,168,7392,2587,35%,Online,
Foot Locker,ADIDAS,1185732,9/18/2021,Midwest,Michigan,Detroit,Primegreen Essentials Comfort Fleece Loose Cropped 3-Stripes Sweatshirt,48,168,8064,2822,35%,Online,
Foot Locker,ADIDAS,1185732,9/18/2021,Midwest,Missouri,St. Louis,Team Speed Soccer OTC Socks,32,168,5376,1613,30%,Online,
West Gear,ADIDAS,1185732,10/17/2021,West,Utah,Salt Lake City,Adicolor Classics MM Trefoil Hoodie,29,168,4872,1218,25%,Online,
West Gear,ADIDAS,1128299,10/17/2021,South,Louisiana,New Orleans,Team Speed Soccer OTC Socks,86,168,14448,5057,35%,Online,
Amazon,ADIDAS,1185732,10/17/2021,Southeast,Kentucky,Louisville,Tiro Track Pants,47,168,7896,3158,40%,Online,
Walmart,ADIDAS,1185732,10/17/2021,South,Mississippi,Jackson,Team Speed Soccer OTC Socks,50,168,8400,2940,35%,Online,
Kohl's,ADIDAS,1185732,10/17/2021,Northeast,Delaware,Wilmington,Stan Smith Shoes,62,168,10416,3646,35%,Online,
Amazon,ADIDAS,1185732,12/16/2021,Northeast,Vermont,Burlington,Superstar Shoes,64,168,10752,3226,30%,Online,
Sports Direct,ADIDAS,1197831,3/20/2021,South,Texas,Dallas,Superstar Shoes,47,168,7896,1974,25%,Outlet,
Foot Locker,ADIDAS,1128299,4/21/2021,Southeast,Virginia,Richmond,Stan Smith Shoes,44,168,7392,2587,35%,Outlet,
West Gear,ADIDAS,1128299,5/20/2021,South,Louisiana,New Orleans,Stan Smith Shoes,38,168,6384,2554,40%,Outlet,
Foot Locker,ADIDAS,1128299,6/22/2021,South,Louisiana,New Orleans,FutureNatural Shoes,55,168,9240,3234,35%,Outlet,
Walmart,ADIDAS,1185732,10/15/2021,South,Mississippi,Jackson,Holiday Graphic Tights (Plus Size),37,168,6216,2176,35%,Outlet,
Sports Direct,ADIDAS,1185732,11/14/2021,South,Mississippi,Jackson,Adicolor Branded Webbing Waist Bag,51,168,8568,2570,30%,Outlet,
Amazon,ADIDAS,1185732,11/14/2021,Northeast,Vermont,Burlington,Stan Smith Shoes,30,168,5040,1260,25%,Outlet,
Sports Direct,ADIDAS,1197831,11/14/2021,South,Texas,Dallas,Adilette Lite Slides,47,167,7849,2747,35%,Online,
West Gear,ADIDAS,1128299,12/13/2021,West,Washington,Seattle,ZX 2K Boost Shoes,46,167,7682,3073,40%,Online,
Kohl's,ADIDAS,1189833,12/13/2021,Midwest,Montana,Billings,Adilette Lite Slides,38,167,6346,2221,35%,Online,
Kohl's,ADIDAS,1185732,12/13/2021,West,Wyoming,Cheyenne,Team Speed Soccer OTC Socks,42,167,7014,2455,35%,Online,
Sports Direct,ADIDAS,1185732,1/10/2021,Midwest,Michigan,Detroit,ZX 2K Boost Shoes,46,167,7682,2305,30%,Online,
Sports Direct,ADIDAS,1185732,1/10/2021,Midwest,Michigan,Detroit,NMD_R1 Shoes,37,167,6179,1545,25%,Online,
West Gear,ADIDAS,1128299,1/10/2021,South,Louisiana,New Orleans,Adilette Lite Slides,59,167,9853,3449,35%,Online,
West Gear,ADIDAS,1197831,2/8/2021,West,Idaho,Boise,Futurenatural Shoes,23,167,3841,1536,40%,Online,
Sports Direct,ADIDAS,1197831,2/8/2021,West,Idaho,Boise,Holiday Graphic Tights (Plus Size),36,167,6012,2104,35%,Online,
Foot Locker,ADIDAS,1128299,2/8/2021,West,Arizona,Phoenix,adidas x Zoe Saldana AEROREADY 7/8 Leggings,41,167,6847,2396,35%,Online,
Sports Direct,ADIDAS,1185732,3/6/2021,Southeast,North Carolina,Charlotte,Grand Court SE Shoes,38,167,6346,1904,30%,Online,
Amazon,ADIDAS,1185732,3/6/2021,Southeast,North Carolina,Charlotte,Futurenatural Shoes,24,167,4008,1002,25%,Online,
Amazon,ADIDAS,1185732,3/6/2021,Midwest,Ohio,Columbus,ZX 2K Boost Shoes,74,167,12358,4325,35%,Online,
Amazon,ADIDAS,1185732,4/7/2021,Southeast,Kentucky,Louisville,ZX 2K Boost Shoes,46,167,7682,3073,40%,Online,
West Gear,ADIDAS,1197831,4/7/2021,South,Arkansas,Little Rock,ZX 2K Boost Shoes,24,167,4008,1403,35%,Online,
West Gear,ADIDAS,1197831,4/7/2021,South,Oklahoma,Oklahoma City,ZX 2K Boost Shoes,36,167,6012,2104,35%,Online,
Foot Locker,ADIDAS,1185732,5/6/2021,Northeast,Rhode Island,Providence,Terrex Trailmaker GORE-TEX Hiking Shoes,46,167,7682,2305,30%,Online,
Amazon,ADIDAS,1185732,5/6/2021,Northeast,Massachusetts,Boston,ZX 2K Boost Shoes,41,167,6847,1712,25%,Online,
Foot Locker,ADIDAS,1185732,5/6/2021,Northeast,Pennsylvania,Philadelphia,Nizza Platform Shoes,32,166,5312,1859,35%,Outlet,
West Gear,ADIDAS,1128299,6/8/2021,West,Nevada,Las Vegas,Nizza Platform Shoes,36,166,5976,2390,40%,Outlet,
West Gear,ADIDAS,1128299,6/8/2021,West,Nevada,Las Vegas,Terrex Two Flow Trail Running Shoes,47,166,7802,2731,35%,Outlet,
West Gear,ADIDAS,1128299,6/8/2021,West,Nevada,Las Vegas,Adicolor Essentials Fleece Hoodie,40,166,6640,2324,35%,Outlet,
Sports Direct,ADIDAS,1197831,7/6/2021,South,Tennessee,Knoxville,Adilette Lite Slides,22,166,3652,1096,30%,Outlet,
Sports Direct,ADIDAS,1197831,7/6/2021,South,Alabama,Birmingham,Nizza Platform Shoes,24,166,3984,996,25%,Outlet,
Walmart,ADIDAS,1128299,7/6/2021,Southeast,Florida,Orlando,Adilette Lite Slides,63,166,10458,3660,35%,Outlet,
West Gear,ADIDAS,1128299,8/7/2021,West,Oregon,Portland,Daily 3.0 Shoes,44,166,7304,2922,40%,Outlet,
Foot Locker,ADIDAS,1197831,8/7/2021,South,Louisiana,New Orleans,Adilette Lite Slides,26,166,4316,1511,35%,Outlet,
Sports Direct,ADIDAS,1197831,8/7/2021,West,Idaho,Boise,Futurenatural Shoes,39,166,6474,2266,35%,Outlet,
Kohl's,ADIDAS,1128299,9/6/2021,West,Arizona,Phoenix,FutureNatural Shoes,36,166,5976,1793,30%,Outlet,
West Gear,ADIDAS,1197831,9/6/2021,South,Oklahoma,Oklahoma City,ZX 2K Boost Shoes,40,166,6640,1660,25%,Outlet,
Kohl's,ADIDAS,1197831,9/6/2021,South,Oklahoma,Oklahoma City,Terrex Trailmaker Hiking Shoes,16,166,2656,930,35%,Outlet,
West Gear,ADIDAS,1128299,10/8/2021,West,Nevada,Las Vegas,Geodiver Primeblue Shoes,62,165,10230,4092,40%,Online,
West Gear,ADIDAS,1128299,10/8/2021,West,Nevada,Las Vegas,X9000L4 Shoes,62,165,10230,3581,35%,Online,
West Gear,ADIDAS,1128299,11/14/2021,West,Nevada,Las Vegas,Puremotion Shoes,59,165,9735,3407,35%,Online,
West Gear,ADIDAS,1128299,12/13/2021,West,Colorado,Denver,Marvel Predator Freak.1 Firm Ground Cleats,37,165,6105,1832,30%,Online,
West Gear,ADIDAS,1128299,1/10/2021,West,Washington,Seattle,Grand Court SE Shoes,55,165,9075,2269,25%,Online,
Kohl's,ADIDAS,1189833,2/8/2021,Midwest,Montana,Billings,Terrex Trailmaker Hiking Shoes,44,165,7260,2541,35%,Online,
Sports Direct,ADIDAS,1197831,4/17/2020,South,Tennessee,Knoxville,Terrex Trailmaker RAIN.RDY Hiking Shoes,43,165,7095,2838,40%,Online,
Foot Locker,ADIDAS,1185732,4/18/2020,Midwest,Nebraska,Omaha,X9000L4 Shoes,43,165,7095,2483,35%,Online,
West Gear,ADIDAS,1185732,4/19/2020,Southeast,Florida,Orlando,Superstar 360 Primeblue Sandals,51,165,8415,2945,35%,Online,
West Gear,ADIDAS,1185732,4/20/2020,Northeast,New York,Albany,Copa Sense.3 Firm Ground Cleats,44,165,7260,2178,30%,Online,
Kohl's,ADIDAS,1185732,4/21/2020,West,Wyoming,Cheyenne,Geodiver Primeblue Shoes,37,165,6105,1526,25%,Online,
Foot Locker,ADIDAS,1185732,4/22/2020,West,Wyoming,Cheyenne,Multix Shoes,44,165,7260,2541,35%,Online,
West Gear,ADIDAS,1128299,4/23/2020,West,Oregon,Portland,Lite Racer Adapt 3.0 Shoes,82,165,13530,5412,40%,Online,
West Gear,ADIDAS,1128299,4/24/2020,West,Oregon,Portland,Adizero Club Tennis Shoes,67,165,11055,3869,35%,Online,
Kohl's,ADIDAS,1128299,4/25/2020,West,New Mexico,Albuquerque,ZX 700 HD Shoes,44,165,7260,2541,35%,Online,
Kohl's,ADIDAS,1128299,4/26/2020,West,New Mexico,Albuquerque,ZX 1K Boost Shoes,48,165,7920,2376,30%,Online,
Kohl's,ADIDAS,1197831,4/27/2020,Midwest,Kansas,Wichita,ZX 1K Boost Shoes,47,165,7755,1939,25%,Online,
West Gear,ADIDAS,1185732,4/28/2020,Northeast,West Virginia,Charleston,ZX 1K Boost Shoes,28,165,4620,1617,35%,Online,
